id,length,bin,ofdeg,gc,principal component 1,principal component 2,principal component 3
contig-3235000000,64842,71,-0.0835761678249229,0.6503655038401039,15.991482286872388,-3.4309932144521897,-1.8646047933827745
contig-3250000000,26573,41,-0.0710708739583988,0.393896059910435,-10.554732294361221,-4.610885927623032,5.154645242314604
contig-3251000000,37132,41,-0.0737420155653698,0.37703328665302205,-11.482379767734974,-5.029594527478192,3.6901558997704154
contig-3252000000,72864,71,-0.0841445238903089,0.6567166227492309,16.199503677175215,-3.816523529523376,-1.9002952472445194
contig-328000000,33740,61,-0.0673075409722666,0.522406639004149,3.2086452628475435,3.6888048709635166,0.18409300013756935
contig-330000000,22116,71,-0.0830103244397132,0.650660155543498,15.705335140029199,-3.848507391375806,-2.6811899473276934
contig-331000000,22118,51,-0.06870019587936,0.449136449950267,-3.478199337540495,3.4357889184430763,0.9300012664070055
contig-332000000,22622,71,-0.0852371676634094,0.664574308195562,16.76064592656723,-3.4546261328501946,-1.6328497406849383
contig-337000000,21805,61,-0.0666140816633779,0.494932354964458,0.44147287601474666,4.57941337008367,0.6307792194084194
contig-340000000,21640,81,-0.0862040867070041,0.654112754158965,16.41921316969786,-3.3903795212286623,-3.325638280352658
contig-341000000,21609,61,-0.0672368994096636,0.507982784950715,1.7686198066361478,4.994211555178713,-0.43727256773909284
contig-346000000,21193,61,-0.0678247074713147,0.5104515641957249,2.1133662722848303,5.597815713267875,0.03712867270550061
contig-35000000,74948,31,-0.0787575433987382,0.339715536105033,-15.643889839165304,-2.911159823896151,-5.140185389668632
contig-352000000,20845,11,-0.0718903807554425,0.5254497481410411,3.9421983966493235,7.375386703627443,3.259069023169219
contig-361000000,23636,71,-0.0832538779424233,0.6511677102724661,15.538867807512927,-2.161608050961166,-2.3752288246886124
contig-367000000,24655,61,-0.0673301097445622,0.522328128168728,3.0608733445849903,3.5490291054952814,0.19590644852907474
contig-369000000,19885,61,-0.0665318449954317,0.5025898918783,0.815790786791376,2.7386789401411313,0.25759565546987895
contig-372000000,39540,32,-0.0812990490586377,0.324051593323217,-14.540167520814675,1.5987986188530747,-9.346473589185129
contig-375000000,19703,32,-0.0828397504217293,0.319291478455058,-15.181188064097409,1.7990824590566012,-9.08599592709282
contig-378000000,19486,32,-0.08075921464623599,0.325259160422868,-13.989666674659706,2.2594963019573258,-9.574686878406435
contig-379000000,19459,71,-0.0834930685429931,0.652911249293386,15.720729697193581,-3.927221085105279,-1.112705278938069
contig-386000000,19197,32,-0.0786558395454997,0.33724019378027803,-13.216598666778625,1.800636546106999,-8.819177804182551
contig-387000000,19158,71,-0.0838707484671886,0.655861780979225,16.129178333999803,-3.9170396159236183,-1.5004082211354668
contig-388000000,19102,71,-0.0817721469645748,0.644016333368234,15.193713317033318,-3.7517386300468796,-1.3977603450447476
contig-39000000,69076,51,-0.0700464809535099,0.447333371938155,-3.790674117118054,3.144173066462166,1.3978031623537819
contig-397000000,18547,71,-0.0841771708645286,0.660538092413868,15.978753486642383,-3.438514479501887,-2.0684126538595793
contig-4000000,156423,51,-0.0692193259272832,0.443170122040876,-4.350911800239712,3.0657099060433097,0.8876137287576144
contig-40000000,69072,51,-0.0700749989784536,0.448155547834144,-3.9115586807257516,3.3071386926556214,0.8597390205774221
contig-406000000,18185,61,-0.0672468441911489,0.49953258179818494,0.8855484844748199,4.733457804882871,-0.3623117428198341
contig-408000000,19882,71,-0.0820578981713306,0.647017402675787,15.641017888589236,-2.899667975744748,-2.177673427428756
contig-409000000,18161,32,-0.0778402050312749,0.34039975772259196,-13.133026211021416,3.6684569291738316,-8.721310590868427
contig-414000000,19168,61,-0.0672756655368709,0.5157032554257089,2.0931678122380317,4.375675766491672,0.5676068797756877
contig-415000000,17878,41,-0.0733591070618354,0.376608121713838,-11.647086078743259,-5.362058047726034,4.736537924107561
contig-418000000,17828,32,-0.07786574583039099,0.3472066412385011,-12.765121201480953,4.253629951871802,-8.43635460192109
contig-426000000,17352,71,-0.0872346999539682,0.6673582295988929,16.763733410854336,-3.8899243339912,-3.3179977312429645
contig-428000000,17280,41,-0.0727804445824257,0.38425925925925897,-11.609327952582081,-4.310869509094963,5.304847511503932
contig-429000000,17266,41,-0.0746111997075778,0.36933858450133206,-12.350523956880336,-5.036106364785327,3.7701256439790773
contig-435000000,17082,61,-0.0666881217831951,0.49385317878468604,0.37325073906085776,3.500220383225287,-0.7620896746129566
contig-437000000,16978,61,-0.0673556547828204,0.502061491341736,0.9472199073824222,5.226754675857054,-0.603966458345953
contig-446000000,72249,81,-0.0868290053593203,0.6550402081689711,15.59216540890106,-3.8824983088772456,-1.305988540891239
contig-453000000,16612,41,-0.0706416826729099,0.39122321213580497,-10.37305578530613,-5.854996470745917,7.079534822512535
contig-459000000,22015,31,-0.0799786508535555,0.334908017260958,-16.449151060840652,-3.9076633328361803,-3.449309260664382
contig-46000000,63941,41,-0.0711538013671378,0.39326879467008596,-10.314261424049777,-4.336823242635709,5.534361244199251
contig-466000000,16203,61,-0.0676871160924612,0.519842004567056,2.6308523440090767,4.138940820016654,1.1648504016839802
contig-467000000,16129,71,-0.08372149013270401,0.654039308078616,16.12744297545978,-3.189332245130855,-2.3412947110243683
contig-468000000,62000,71,-0.0845146063780606,0.659290322580645,16.274340315591306,-2.9436944493116504,-2.1719283799401685
contig-47000000,63834,61,-0.0673023232095543,0.510198326910424,2.055477712798769,4.33204130537039,-0.2181510820993831
contig-484000000,31735,71,-0.0823220590306031,0.648873483535529,15.14987765038743,-3.5497540148225304,-1.7259742311387782
contig-486000000,15592,61,-0.067685932678475,0.510710620831195,2.2123347582237955,4.651231849371894,-0.30035930186457777
contig-49000000,62419,51,-0.069062546269522,0.44768419872154297,-4.138069009381886,3.558836285423839,1.371741264642643
contig-491000000,15553,41,-0.0721668008475677,0.387963736899634,-10.761047355473767,-4.418725828968978,6.376461365833947
contig-492000000,15437,11,-0.070743009611983,0.5218630562933211,3.3502844191129166,6.733115873308585,2.508804514163284
contig-494000000,15379,41,-0.0720441664143848,0.382729696339164,-11.483668227992263,-4.929061526871741,3.662474834777207
